"No billing address provided for order %1","No billing address provided for order %1"
"Wrong billing address specified for order %1","Wrong billing address specified for order %1"
"Wrong creditmemo_items qty specified for creditmemo %1","Wrong creditmemo_items qty specified for creditmemo %1"
"store_id of order %1 doesn't match store_id of creditmemo %2","store_id of order %1 doesn't match store_id of creditmemo %2"
"Wrong invoice_item qty specified for invoice %1","Wrong invoice_item qty specified for invoice %1"
"store_id of order %1 doesn't match store_id of invoice %2","store_id of order %1 doesn't match store_id of invoice %2"
"Non virtual order_item %1 found for virtual order %2","Non virtual order_item %1 found for virtual order %2"
"Wrong shipment_item qty specified for shipment %1","Wrong shipment_item qty specified for shipment %1"
"store_id of order %1 doesn't match store_id of shipment %2","store_id of order %1 doesn't match store_id of shipment %2"
"No shipping address provided for order %1","No shipping address provided for order %1"
"Wrong shipping address specified for order %1","Wrong shipping address specified for order %1"
"Invalid address type specified.","Invalid address type specified."
"Email has a wrong format.","Email has a wrong format."
"A duplicate field was found in creditmemo entity.","A duplicate field was found in creditmemo entity."
"A duplicate field was found in invoice entity.","A duplicate field was found in invoice entity."
"A duplicate field was found in order entity.","A duplicate field was found in order entity."
"The status value doesn't correspond to the state.","The status value doesn't correspond to the state."
"Virtual orders can't have shipping address.","Virtual orders can't have shipping address."
"A duplicate field was found in shipment entity.","A duplicate field was found in shipment entity."
